Survey Month,Choice 1,Choice 2,Choice 3,Region,Gender,Age,Weight
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,Crime/ Violence/ Vandalism,Taxes/ Tax reform,Northwest,Male,55 +,0.56405111
2015 Mar 01 12:00:00 AM,Racism/ Cultural/ Inequality issues,Economy (general),Proper city planning/ Forward thinking,Southwest,Female,,1.0434
2015 Mar 01 12:00:00 AM,Taxes/ Tax reform,Infrastructure/ Roads/ Potholes,,Northwest,Male,35 - 54,1.322233163
2015 Mar 01 12:00:00 AM,Poverty/ Homelessness,Racism/ Cultural/ Inequality issues,Jobs/ Unemployment,Southwest,Male,18 - 34,1.570961083
2015 Mar 01 12:00:00 AM,Economic growth/ Business development,Infrastructure/ Roads/ Potholes,,Southeast,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,"Emergency services: Fire, Police",,Core,Female,35 - 54,1.128863163
2015 Mar 01 12:00:00 AM,Racism/ Cultural/ Inequality issues,Economic growth/ Business development,,Core,Male,35 - 54,1.322233163
2015 Mar 01 12:00:00 AM,Cost of Living,Taxes/ Tax reform,Crime/ Violence/ Vandalism,Northeast,Female,35 - 54,1.128863163
2015 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,Childcare/ Daycare issues,Winnipeg (cell),Female,35 - 54,1.128863163
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,,,Northwest,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,,,Southeast,Female,18 - 34,1.833517668
2015 Mar 01 12:00:00 AM,Education,Government Issues: corruption/ federal election,,Northwest,Male,55 +,0.56405111
2015 Mar 01 12:00:00 AM,Recreation/ Leisure/ Entertainment,Infrastructure/ Roads/ Potholes,,Core,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Economy (general),Aboriginal Issues,,Core,Male,55 +,0.56405111
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,Crime/ Violence/ Vandalism,Health care/ Medicare,Northwest,Male,35 - 54,1.322233163
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,Water/ Lakes - Purity/ Pollution/ Cleanliness,,Winnipeg (cell),Male,55 +,0.56405111
2015 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Southeast,Female,35 - 54,1.128863163
2015 Mar 01 12:00:00 AM,Economy (general),,,Southwest,Male,35 - 54,1.322233163
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,,,Southeast,Male,55 +,0.56405111
2015 Mar 01 12:00:00 AM,Jobs/ Unemployment,,,Northwest,Male,18 - 34,1.570961083
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,Health care/ Medicare,,Southeast,Male,35 - 54,1.322233163
2015 Mar 01 12:00:00 AM,Education,Cost of Living,,Northwest,Male,55 +,0.56405111
2015 Mar 01 12:00:00 AM,Morality: Pornography/ Drugs/ Prostitution,Aboriginal Issues,,Core,Female,18 - 34,1.833517668
2015 Mar 01 12:00:00 AM,Proper city planning/ Forward thinking,,,Core,Male,55 +,0.56405111
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,Crime/ Violence/ Vandalism,Health care/ Medicare,Northeast,Female,35 - 54,1.128863163
2015 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Infrastructure/ Roads/ Potholes,,Southeast,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Racism/ Cultural/ Inequality issues,Poverty/ Homelessness,Low cost housing/ Lower rental costs,Northwest,Male,35 - 54,1.322233163
2015 Mar 01 12:00:00 AM,Population growth,,,Northeast,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Morality: Pornography/ Drugs/ Prostitution,,,Northwest,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,,,Core,Female,18 - 34,1.833517668
2015 Mar 01 12:00:00 AM,Poverty/ Homelessness,Infrastructure/ Roads/ Potholes,,Northeast,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Recreation/ Leisure/ Entertainment,,Northeast,Female,35 - 54,1.128863163
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,Low cost housing/ Lower rental costs,,Northeast,Female,35 - 54,1.128863163
2015 Mar 01 12:00:00 AM,Jobs/ Unemployment,Economic growth/ Business development,,Core,Female,35 - 54,1.128863163
2015 Mar 01 12:00:00 AM,Racism/ Cultural/ Inequality issues,,,Southwest,Female,35 - 54,1.128863163
2015 Mar 01 12:00:00 AM,Government Issues: corruption/ federal election,Taxes/ Tax reform,,Core,Male,55 +,0.56405111
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,,,Northeast,Female,35 - 54,1.128863163
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,Economic growth/ Business development,,Northwest,Female,35 - 54,1.128863163
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,Taxes/ Tax reform,,Southwest,Female,35 - 54,1.128863163
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,Taxes/ Tax reform,,Core,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Government Issues: corruption/ federal election,,,Southwest,Male,55 +,0.56405111
2015 Mar 01 12:00:00 AM,Economy (general),Proper city planning/ Forward thinking,Government Issues: corruption/ federal election,Northwest,Male,55 +,0.56405111
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,Taxes/ Tax reform,,Southwest,Male,,0.9566
2015 Mar 01 12:00:00 AM,Taxes/ Tax reform,Senior issues,,Northwest,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Agriculture/ Farming,,,Southeast,Female,18 - 34,1.833517668
2015 Mar 01 12:00:00 AM,Government Issues: corruption/ federal election,Civic Politics,,Core,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Economy (general),,,Northeast,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,,,Winnipeg (cell),Female,18 - 34,1.833517668
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,Sewer/ Water infrastructure,,Northeast,Male,55 +,0.56405111
2015 Mar 01 12:00:00 AM,Poverty/ Homelessness,Infrastructure/ Roads/ Potholes,,Northeast,Female,18 - 34,1.833517668
2015 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Jobs/ Unemployment,,Core,Female,18 - 34,1.833517668
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,Crime/ Violence/ Vandalism,,Southeast,Male,35 - 54,1.322233163
2015 Mar 01 12:00:00 AM,Health care/ Medicare,Taxes/ Tax reform,,Southwest,Female,35 - 54,1.128863163
2015 Mar 01 12:00:00 AM,Government Issues: corruption/ federal election,Civic Politics,Economic growth/ Business development,Southwest,Male,55 +,0.56405111
2015 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Low cost housing/ Lower rental costs,,Core,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Northeast,Male,18 - 34,1.570961083
2015 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Recreation/ Leisure/ Entertainment,,Northwest,Female,18 - 34,1.833517668
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,Recreation/ Leisure/ Entertainment,Social services/ Public services,Southwest,Male,35 - 54,1.322233163
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,,,Southeast,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Health care/ Medicare,Cost of Living,,Core,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Drivers/ Road rage,,,Core,Male,35 - 54,1.322233163
2015 Mar 01 12:00:00 AM,Poverty/ Homelessness,Racism/ Cultural/ Inequality issues,,Southwest,Female,18 - 34,1.833517668
2015 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Northwest,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,,,Southwest,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,Low cost housing/ Lower rental costs,,Northeast,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,Civic Politics,Government Issues: corruption/ federal election,Southeast,Female,,1.0434
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,Taxes/ Tax reform,,Northeast,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Proper city planning/ Forward thinking,Crime/ Violence/ Vandalism,Infrastructure/ Roads/ Potholes,Southwest,Male,55 +,0.56405111
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,,,Northwest,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,Crime/ Violence/ Vandalism,,Southeast,Male,18 - 34,1.570961083
2015 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Southwest,Female,35 - 54,1.128863163
2015 Mar 01 12:00:00 AM,Integrating new immigrants into our society,Aboriginal Issues,,Southeast,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,Cost of Living,,Southwest,Male,55 +,0.56405111
2015 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Northwest,Male,18 - 34,1.570961083
2015 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Education,,Northwest,Female,35 - 54,1.128863163
2015 Mar 01 12:00:00 AM,Government Issues: corruption/ federal election,Infrastructure/ Roads/ Potholes,Civic Politics,Southwest,Male,55 +,0.56405111
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,,,Southwest,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Southwest,Male,35 - 54,1.322233163
2015 Mar 01 12:00:00 AM,Economy (general),Jobs/ Unemployment,Infrastructure/ Roads/ Potholes,Southwest,Male,55 +,0.56405111
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,Taxes/ Tax reform,,Northeast,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,Low cost housing/ Lower rental costs,,Core,Male,18 - 34,1.570961083
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,Crime/ Violence/ Vandalism,,Core,Female,35 - 54,1.128863163
2015 Mar 01 12:00:00 AM,Racism/ Cultural/ Inequality issues,Infrastructure/ Roads/ Potholes,Taxes/ Tax reform,Northeast,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Civic Politics,Environmental issues,Poverty/ Homelessness,Southwest,Female,18 - 34,1.833517668
2015 Mar 01 12:00:00 AM,Racism/ Cultural/ Inequality issues,,,Northwest,Male,18 - 34,1.570961083
2015 Mar 01 12:00:00 AM,Aboriginal Issues,Crime/ Violence/ Vandalism,,Southeast,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,Integrating new immigrants into our society,,Southeast,Female,35 - 54,1.128863163
2015 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Southwest,Female,18 - 34,1.833517668
2015 Mar 01 12:00:00 AM,Downtown Renewal,Poverty/ Homelessness,,Core,Male,18 - 34,1.570961083
2015 Mar 01 12:00:00 AM,Economic growth/ Business development,,,Northwest,Male,35 - 54,1.322233163
2015 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Recreation/ Leisure/ Entertainment,Social services/ Public services,Southeast,Female,18 - 34,1.833517668
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,Public Transit/ Bike lanes,,Southeast,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Taxes/ Tax reform,Crime/ Violence/ Vandalism,Infrastructure/ Roads/ Potholes,Southeast,Female,35 - 54,1.128863163
2015 Mar 01 12:00:00 AM,Health care/ Medicare,,,Northeast,Male,55 +,0.56405111
2015 Mar 01 12:00:00 AM,Poverty/ Homelessness,Education,,Northwest,Female,35 - 54,1.128863163
2015 Mar 01 12:00:00 AM,Economic growth/ Business development,,,Southwest,Male,18 - 34,1.570961083
2015 Mar 01 12:00:00 AM,Poverty/ Homelessness,Infrastructure/ Roads/ Potholes,,Northwest,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Education,,Southwest,Female,18 - 34,1.833517668
2015 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Infrastructure/ Roads/ Potholes,,Northeast,Female,35 - 54,1.128863163
2015 Mar 01 12:00:00 AM,Low cost housing/ Lower rental costs,,,Northwest,Male,55 +,0.56405111
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,,,Northwest,Female,,1.0434
2015 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Recreation/ Leisure/ Entertainment,,Northwest,Female,35 - 54,1.128863163
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,Jobs/ Unemployment,Recreation/ Leisure/ Entertainment,Northeast,Male,55 +,0.56405111
2015 Mar 01 12:00:00 AM,Recreation/ Leisure/ Entertainment,Poverty/ Homelessness,,Southwest,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Health care/ Medicare,Education,,Northeast,Male,55 +,0.56405111
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,Taxes/ Tax reform,,Northwest,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Infrastructure/ Roads/ Potholes,,Core,Male,55 +,0.56405111
2015 Mar 01 12:00:00 AM,Taxes/ Tax reform,Infrastructure/ Roads/ Potholes,,Southeast,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,,,Northwest,Male,18 - 34,1.570961083
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,,,Northwest,Male,55 +,0.56405111
2015 Mar 01 12:00:00 AM,Aboriginal Issues,Education,Health care/ Medicare,Southwest,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Poverty/ Homelessness,,Northwest,Female,18 - 34,1.833517668
2015 Mar 01 12:00:00 AM,Sewer/ Water infrastructure,Infrastructure/ Roads/ Potholes,Proper city planning/ Forward thinking,Southwest,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Taxes/ Tax reform,Infrastructure/ Roads/ Potholes,,Southeast,Male,35 - 54,1.322233163
2015 Mar 01 12:00:00 AM,Education,Racism/ Cultural/ Inequality issues,,Northeast,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,Aboriginal Issues,,Northwest,Male,35 - 54,1.322233163
2015 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Core,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Economy (general),,,Northwest,Male,55 +,0.56405111
2015 Mar 01 12:00:00 AM,Morality: Pornography/ Drugs/ Prostitution,,,Northwest,Female,18 - 34,1.833517668
2015 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Taxes/ Tax reform,Property values too high,Southwest,Male,18 - 34,1.570961083
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,,,Southwest,Male,18 - 34,1.570961083
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,Jobs/ Unemployment,,Northeast,Male,55 +,0.56405111
2015 Mar 01 12:00:00 AM,Health care/ Medicare,Recreation/ Leisure/ Entertainment,,Northwest,Female,35 - 54,1.128863163
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,Recreation/ Leisure/ Entertainment,Social services/ Public services,Northeast,Male,35 - 54,1.322233163
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,Cost of Living,,Northwest,Female,35 - 54,1.128863163
2015 Mar 01 12:00:00 AM,Aboriginal Issues,,,Southwest,Male,35 - 54,1.322233163
2015 Mar 01 12:00:00 AM,Health care/ Medicare,Infrastructure/ Roads/ Potholes,Government Issues: corruption/ federal election,Southwest,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Education,,,Southwest,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,Recreation/ Leisure/ Entertainment,,Southwest,Male,35 - 54,1.322233163
2015 Mar 01 12:00:00 AM,Taxes/ Tax reform,Health care/ Medicare,,Northwest,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,,,Northeast,Male,35 - 54,1.322233163
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,Environmental issues,,Northwest,Male,55 +,0.56405111
2015 Mar 01 12:00:00 AM,Economy (general),Infrastructure/ Roads/ Potholes,,Northwest,Male,18 - 34,1.570961083
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,Taxes/ Tax reform,Public Transit/ Bike lanes,Northeast,Female,18 - 34,1.833517668
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,Jobs/ Unemployment,,Southwest,Male,55 +,0.56405111
2015 Mar 01 12:00:00 AM,Taxes/ Tax reform,,,Southeast,Male,18 - 34,1.570961083
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,,,Northeast,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Taxes/ Tax reform,Social services/ Public services,,Southeast,Male,55 +,0.56405111
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,Crime/ Violence/ Vandalism,,Core,Male,55 +,0.56405111
2015 Mar 01 12:00:00 AM,Rural issues/ Small-town survival,Infrastructure/ Roads/ Potholes,,Southwest,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Taxes/ Tax reform,Crime/ Violence/ Vandalism,,Winnipeg (cell),Female,35 - 54,1.128863163
2015 Mar 01 12:00:00 AM,Low cost housing/ Lower rental costs,,,Southeast,Male,,0.9566
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,,,Southwest,Male,18 - 34,1.570961083
2015 Mar 01 12:00:00 AM,Taxes/ Tax reform,,,Southwest,Female,,1.0434
2015 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Economy (general),,Northwest,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,,,Southwest,Female,35 - 54,1.128863163
2015 Mar 01 12:00:00 AM,Racism/ Cultural/ Inequality issues,Aboriginal Issues,,Southeast,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Government Issues: corruption/ federal election,Civic Politics,,Southeast,Female,35 - 54,1.128863163
2015 Mar 01 12:00:00 AM,Government Issues: corruption/ federal election,Infrastructure/ Roads/ Potholes,Recreation/ Leisure/ Entertainment,Northwest,Female,35 - 54,1.128863163
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,,,Southeast,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,Racism/ Cultural/ Inequality issues,,Southwest,Male,35 - 54,1.322233163
2015 Mar 01 12:00:00 AM,Education,,,Northwest,Female,35 - 54,1.128863163
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,,,Southeast,Male,35 - 54,1.322233163
2015 Mar 01 12:00:00 AM,Jobs/ Unemployment,,,Northwest,Male,35 - 54,1.322233163
2015 Mar 01 12:00:00 AM,Racism/ Cultural/ Inequality issues,Poverty/ Homelessness,,Core,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Taxes/ Tax reform,,,Northeast,Male,55 +,0.56405111
2015 Mar 01 12:00:00 AM,Poverty/ Homelessness,Racism/ Cultural/ Inequality issues,Crime/ Violence/ Vandalism,Southeast,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Aboriginal Issues,Racism/ Cultural/ Inequality issues,,Southwest,Male,55 +,0.56405111
2015 Mar 01 12:00:00 AM,Jobs/ Unemployment,Infrastructure/ Roads/ Potholes,,Southeast,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Jobs/ Unemployment,Infrastructure/ Roads/ Potholes,,Core,Male,35 - 54,1.322233163
2015 Mar 01 12:00:00 AM,Jobs/ Unemployment,Environmental issues,Childcare/ Daycare issues,Northeast,Female,18 - 34,1.833517668
2015 Mar 01 12:00:00 AM,Racism/ Cultural/ Inequality issues,Social services/ Public services,,Southwest,Male,55 +,0.56405111
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,,,Core,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,,,Northeast,Male,18 - 34,1.570961083
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,,,Southeast,Female,35 - 54,1.128863163
2015 Mar 01 12:00:00 AM,Taxes/ Tax reform,Infrastructure/ Roads/ Potholes,,Northeast,Male,55 +,0.56405111
2015 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Infrastructure/ Roads/ Potholes,,Southwest,Female,18 - 34,1.833517668
2015 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Education,,Northwest,Female,18 - 34,1.833517668
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,Crime/ Violence/ Vandalism,,Southwest,Female,35 - 54,1.128863163
2015 Mar 01 12:00:00 AM,Drivers/ Road rage,,,Southwest,Male,55 +,0.56405111
2015 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Southwest,Male,18 - 34,1.570961083
2015 Mar 01 12:00:00 AM,Rural issues/ Small-town survival,,,Southwest,Male,55 +,0.56405111
2015 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Infrastructure/ Roads/ Potholes,,Northeast,Female,35 - 54,1.128863163
2015 Mar 01 12:00:00 AM,Recreation/ Leisure/ Entertainment,,,Northwest,Female,18 - 34,1.833517668
2015 Mar 01 12:00:00 AM,Proper city planning/ Forward thinking,,,Southeast,Female,18 - 34,1.833517668
2015 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Infrastructure/ Roads/ Potholes,Racism/ Cultural/ Inequality issues,Northwest,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Public Transit/ Bike lanes,,Core,Male,35 - 54,1.322233163
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,Sewer/ Water infrastructure,,Northwest,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Economy (general),,,Core,Female,35 - 54,1.128863163
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,Crime/ Violence/ Vandalism,,Northwest,Female,35 - 54,1.128863163
2015 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Infrastructure/ Roads/ Potholes,,Northeast,Female,35 - 54,1.128863163
2015 Mar 01 12:00:00 AM,Racism/ Cultural/ Inequality issues,Economy (general),,Core,Male,18 - 34,1.570961083
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,Taxes/ Tax reform,,Southeast,Male,18 - 34,1.570961083
2015 Mar 01 12:00:00 AM,Health care/ Medicare,Infrastructure/ Roads/ Potholes,,Northwest,Male,55 +,0.56405111
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,Taxes/ Tax reform,Aboriginal Issues,Core,Female,18 - 34,1.833517668
2015 Mar 01 12:00:00 AM,Economic growth/ Business development,Recreation/ Leisure/ Entertainment,,Southeast,Male,35 - 54,1.322233163
2015 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Public Transit/ Bike lanes,,Core,Male,55 +,0.56405111
2015 Mar 01 12:00:00 AM,Taxes/ Tax reform,Social services/ Public services,,Northwest,Male,55 +,0.56405111
2015 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Northwest,Female,35 - 54,1.128863163
2015 Mar 01 12:00:00 AM,Economic growth/ Business development,Racism/ Cultural/ Inequality issues,Downtown Renewal,Core,Female,35 - 54,1.128863163
2015 Mar 01 12:00:00 AM,Government Issues: corruption/ federal election,Infrastructure/ Roads/ Potholes,,Southeast,Male,55 +,0.56405111
2015 Mar 01 12:00:00 AM,Education,Aboriginal Issues,,Southeast,Female,35 - 54,1.128863163
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,Health care/ Medicare,Crime/ Violence/ Vandalism,Southwest,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,Military/ Soldiers,,Northeast,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,Infrastructure/ Roads/ Potholes,,Southwest,Male,55 +,0.56405111
2015 Mar 01 12:00:00 AM,Property values too high,Crime/ Violence/ Vandalism,Infrastructure/ Roads/ Potholes,Southeast,Male,35 - 54,1.322233163
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,Crime/ Violence/ Vandalism,Economic growth/ Business development,Northeast,Male,18 - 34,1.570961083
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,,,Core,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,,,Northwest,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,Crime/ Violence/ Vandalism,,Northeast,Female,18 - 34,1.833517668
2015 Mar 01 12:00:00 AM,Government Issues: corruption/ federal election,Civic Politics,,Northeast,Male,,0.9566
2015 Mar 01 12:00:00 AM,Aboriginal Issues,Morality: Pornography/ Drugs/ Prostitution,Poverty/ Homelessness,Southeast,Female,18 - 34,1.833517668
2015 Mar 01 12:00:00 AM,Racism/ Cultural/ Inequality issues,Poverty/ Homelessness,Urban Sprawl,Core,Female,18 - 34,1.833517668
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,Health care/ Medicare,,Southeast,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Poverty/ Homelessness,Infrastructure/ Roads/ Potholes,,Northeast,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Taxes/ Tax reform,Infrastructure/ Roads/ Potholes,,Northwest,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Economy (general),Poverty/ Homelessness,Infrastructure/ Roads/ Potholes,Southwest,Male,,0.9566
2015 Mar 01 12:00:00 AM,Government Issues: corruption/ federal election,Infrastructure/ Roads/ Potholes,,Northeast,Male,35 - 54,1.322233163
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,,,Southwest,Male,18 - 34,1.570961083
2015 Mar 01 12:00:00 AM,Recreation/ Leisure/ Entertainment,,,Southeast,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Poverty/ Homelessness,,,Core,Male,18 - 34,1.570961083
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,Senior issues,Social services/ Public services,Southeast,Female,35 - 54,1.128863163
2015 Mar 01 12:00:00 AM,Health care/ Medicare,Infrastructure/ Roads/ Potholes,,Northwest,Male,55 +,0.56405111
2015 Mar 01 12:00:00 AM,Crime/ Violence/ Vandalism,,,Northeast,Male,55 +,0.56405111
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,Crime/ Violence/ Vandalism,,Core,Female,55 +,0.624741979
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,,,Southwest,Female,35 - 54,1.128863163
2015 Mar 01 12:00:00 AM,Infrastructure/ Roads/ Potholes,Economy (general),,Southwest,Male,55 +,0.56405111
